dataset,backbone,train_seed,n_placements,input_source,D_uncentred,raw_D_uncentred,D_KRIN,raw_D_KRIN,R,raw_R
Chicago,SPIN-s,0,5,matched,1.2078254088125941,60.127356764484809,0.00013151192772791197,-1.5811769601718724,1.2076938968848663,61.708533724656682
Chicago,SPIN-s,1,5,matched,0.54913957843825301,29.514686687388274,-2.333145546351556e-05,-1.1073129977246949,0.54916290989371652,30.621999685112968
Chicago,SPIN-s,2,5,matched,1.4178226610265621,73.921110891028746,0.0002465864777082327,-1.6504521105050407,1.4175760745488537,75.571563001533789
Chicago,IGNNK-R,0,5,matched,0.3962983751013664,18.683562808855928,-3.2297235218470277e-05,-7.0933731810670366,0.39633067233658481,25.776935989922965
Chicago,IGNNK-R,1,5,matched,0.45785663391225107,20.204680528521386,-0.00015585012322547609,-6.7778529129511842,0.45801248403547656,26.982533441472572
Chicago,IGNNK-R,2,5,matched,0.3835122714651959,13.375643201233146,-9.9939770898171965e-05,-6.8054464904695804,0.38361221123609407,20.181089691702727
Subway,SPIN-s,0,5,matched,1.1499776742621948,266.20407550558741,5.1900466565313329e-05,-1.7101811204692638,1.1499257737956294,267.91425662605667
Subway,SPIN-s,1,5,matched,1.4819663623792936,360.06719018602882,-0.00025257110397803874,-4.1753325914662609,1.4822189334832716,364.24252277749508
Subway,SPIN-s,2,5,matched,1.5058530113092847,356.52620542481282,0.00013420002581226997,-1.0211049711038924,1.5057188112834723,357.54731039591672
Subway,IGNNK-R,0,5,matched,0.23568280619728474,56.845131095129986,-7.2468998632935214e-05,1.3403833701506926,0.23575527519591769,55.504747724979303
Subway,IGNNK-R,1,5,matched,0.51002677465397528,125.48591727502557,-9.9049060498179742e-05,-1.7000528500858081,0.51012582371447357,127.18597012511137
Subway,IGNNK-R,2,5,matched,0.47958854993695565,120.50756724182384,0.00016291844869187333,-2.8173330340592315,0.47942563148826378,123.32490027588305
