dataset,placement_seed,shift,coverage,snaive7,common_mode,snaive7_recomputed,common_mode_recomputed,max_snaive7_abs_difference,max_common_mode_abs_difference,n_model_cells,n_snaive7_cells,n_all_valid_target_cells,n_lag7_missing_target_cells,n_unmatched_cells,score_support_status,target_indices_sha256,test_indices_sha256,test_days,test_start,test_end
cta,4,no shift,inside,164.3417844953681,108.01955442259144,164.3417844953681,108.01955442259143,0,1.4210854715202004e-14,6153,6153,6153,0,0,exact,5deab5ee638ef20a9df9fa64aebd6e32c66deed3b11051d372d6baef52b84a41,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,4,no shift,outside,164.3417844953681,109.85380781105042,164.3417844953681,109.85380781105042,0,0,6153,6153,6153,0,0,exact,5deab5ee638ef20a9df9fa64aebd6e32c66deed3b11051d372d6baef52b84a41,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,4,regional shift,inside,41.085446123842026,26.999094632159039,41.085446123842026,26.999094632159036,0,3.5527136788005009e-15,6153,6153,6153,0,0,exact,5deab5ee638ef20a9df9fa64aebd6e32c66deed3b11051d372d6baef52b84a41,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
cta,4,regional shift,outside,41.085446123842026,27.462730273109852,41.085446123842026,27.462730273109852,0,0,6153,6153,6153,0,0,exact,5deab5ee638ef20a9df9fa64aebd6e32c66deed3b11051d372d6baef52b84a41,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,0,no shift,inside,993.22397476340689,615.58343963507525,993.22397476340689,615.58343963507514,0,1.1368683772161603e-13,19020,19020,19032,12,0,exact,1a56b9e1338f182cf2547b2b7178fd9ad6051b951dd36f3f13f1d9d5ec4353de,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,0,no shift,outside,993.22397476340689,623.27623474511495,993.22397476340689,623.27623474511495,0,0,19020,19020,19032,12,0,exact,1a56b9e1338f182cf2547b2b7178fd9ad6051b951dd36f3f13f1d9d5ec4353de,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,0,regional shift,inside,248.30599369085169,153.8801707664139,248.30599369085172,153.8801707664139,2.8421709430404007e-14,0,19020,19020,19032,12,0,exact,1a56b9e1338f182cf2547b2b7178fd9ad6051b951dd36f3f13f1d9d5ec4353de,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,0,regional shift,outside,248.30599369085169,155.82280772812058,248.30599369085172,155.82280772812058,2.8421709430404007e-14,0,19020,19020,19032,12,0,exact,1a56b9e1338f182cf2547b2b7178fd9ad6051b951dd36f3f13f1d9d5ec4353de,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,1,no shift,inside,946.07442447177561,638.72481956601712,946.0744244717755,638.72481956601712,2.2737367544323206e-13,0,19026,19026,19035,9,0,exact,ebe724dbd25f7f1f9e855a08bb965ad85b33d0107449d5ecfdd26a22c97b437c,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,1,no shift,outside,946.07442447177561,640.8436092925723,946.0744244717755,640.8436092925723,2.2737367544323206e-13,0,19026,19026,19035,9,0,exact,ebe724dbd25f7f1f9e855a08bb965ad85b33d0107449d5ecfdd26a22c97b437c,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
