dataset,model,train_seed,shift,coverage,MAE,snaive7,MAE_over_snaive7,n_placements,input_source
Chicago,ignnk_off,0,no shift,inside,213.70752687967251,219.14405980822363,0.97753127549233532,5,matched
Chicago,ignnk_off,0,no shift,outside,217.61526770477818,219.14405980822363,0.994465769463317,5,matched
Chicago,ignnk_off,0,regional shift,inside,76.307492034183014,54.786014952055908,1.4201226780778593,5,matched
Chicago,ignnk_off,0,regional shift,outside,98.898795668144601,54.786014952055908,1.8333555471502074,5,matched
Chicago,ignnk_off,1,no shift,inside,189.06041899975111,219.14405980822363,0.86360052793721531,5,matched
Chicago,ignnk_off,1,no shift,outside,195.5613911024094,219.14405980822363,0.89194666407499634,5,matched
Chicago,ignnk_off,1,regional shift,inside,82.58642484880977,54.786014952055908,1.5431122765416116,5,matched
Chicago,ignnk_off,1,regional shift,outside,109.29207747998944,54.786014952055908,2.0293150465916439,5,matched
Chicago,ignnk_off,2,no shift,inside,217.83096081656055,219.14405980822363,0.99456409520516798,5,matched
Chicago,ignnk_off,2,no shift,outside,227.83841837029445,219.14405980822363,1.038494315910149,5,matched
Chicago,ignnk_off,2,regional shift,inside,133.76529751112261,54.786014952055908,2.4798799266269773,5,matched
Chicago,ignnk_off,2,regional shift,outside,157.14839826608971,54.786014952055908,2.9073224187971545,5,matched
Chicago,ignnk_off_c,0,no shift,inside,160.53002698759752,219.14405980822363,0.73414667293152436,5,matched
Chicago,ignnk_off_c,0,no shift,outside,169.98827670286599,219.14405980822363,0.77575263337263289,5,matched
Chicago,ignnk_off_c,0,regional shift,inside,40.121104695261081,54.786014952055908,0.73398657297321557,5,matched
Chicago,ignnk_off_c,0,regional shift,outside,42.48598122946251,54.786014952055908,0.77556023617910552,5,matched
Chicago,ignnk_off_c,1,no shift,inside,144.1553154488918,219.14405980822363,0.65927905188344282,5,matched
Chicago,ignnk_off_c,1,no shift,outside,153.18382325726526,219.14405980822363,0.69879575365597801,5,matched
Chicago,ignnk_off_c,1,regional shift,inside,36.034610181263204,54.786014952055908,0.65924447117099416,5,matched
Chicago,ignnk_off_c,1,regional shift,outside,38.285265076685469,54.786014952055908,0.69860532282030385,5,matched
Chicago,ignnk_off_c,2,no shift,inside,147.12545128519625,219.14405980822363,0.67175096314379756,5,matched
Chicago,ignnk_off_c,2,no shift,outside,156.19458552992441,219.14405980822363,0.71166519771795289,5,matched
Chicago,ignnk_off_c,2,regional shift,inside,36.785332951389947,54.786014952055908,0.6718581322033772,5,matched
Chicago,ignnk_off_c,2,regional shift,outside,39.049020705648545,54.786014952055908,0.71167242700663447,5,matched
Chicago,spin,0,no shift,inside,165.2994121261986,219.14405980822363,0.75514705012094696,5,matched
Chicago,spin,0,no shift,outside,171.50948089346659,219.14405980822363,0.78226980326822493,5,matched
Chicago,spin,0,regional shift,inside,43.8055324257476,54.786014952055908,0.80370814772749222,5,matched
Chicago,spin,0,regional shift,outside,110.1429579575004,54.786014952055908,2.0386563096873642,5,matched
Chicago,spin,1,no shift,inside,152.27426661790997,219.14405980822363,0.69506817439454716,5,matched
Chicago,spin,1,no shift,outside,152.51005149926863,219.14405980822363,0.69749299443599699,5,matched
Chicago,spin,1,regional shift,inside,62.508544612384206,54.786014952055908,1.1532729052390578,5,matched
Chicago,spin,1,regional shift,outside,92.259016181131159,54.786014952055908,1.7048373037187605,5,matched
Chicago,spin,2,no shift,inside,188.50374766374125,219.14405980822363,0.86045055631202094,5,matched
Chicago,spin,2,no shift,outside,192.15846309726962,219.14405980822363,0.88011387367478788,5,matched
Chicago,spin,2,regional shift,inside,62.861617808386157,54.786014952055908,1.1487939677958698,5,matched
Chicago,spin,2,regional shift,outside,140.43744413294328,54.786014952055908,2.5862799461851984,5,matched
Chicago,spin_c,0,no shift,inside,127.99657115939378,219.14405980822363,0.58423724060369542,5,matched
Chicago,spin_c,0,no shift,outside,130.11706967129857,219.14405980822363,0.59300839661890625,5,matched
Chicago,spin_c,0,regional shift,inside,32.003290664868764,54.786014952055908,0.58435581490649313,5,matched
Chicago,spin_c,0,regional shift,outside,32.542612216601654,54.786014952055908,0.59325848284943183,5,matched
Chicago,spin_c,1,no shift,inside,113.6726860880871,219.14405980822363,0.51827653582047828,5,matched
Chicago,spin_c,1,no shift,outside,115.14849844588007,219.14405980822363,0.52418436318014672,5,matched
Chicago,spin_c,1,regional shift,inside,28.427928671735334,54.786014952055908,0.51847338753191941,5,matched
Chicago,spin_c,1,regional shift,outside,28.796428031803593,54.786014952055908,0.52435788343612444,5,matched
Chicago,spin_c,2,no shift,inside,118.76107818340647,219.14405980822363,0.54125395391192033,5,matched
Chicago,spin_c,2,no shift,outside,120.98238549792784,219.14405980822363,0.55067832476741552,5,matched
Chicago,spin_c,2,regional shift,inside,29.68835092510767,54.786014952055908,0.54126115795635188,5,matched
Chicago,spin_c,2,regional shift,outside,30.259206129124003,54.786014952055908,0.55093211528955532,5,matched
Subway,ignnk_off,0,no shift,inside,1042.7682081540083,993.63576339039389,1.0490827265508118,5,matched
Subway,ignnk_off,0,no shift,outside,1044.9069530048953,993.63576339039389,1.0514510079422843,5,matched
Subway,ignnk_off,0,regional shift,inside,363.73572823113295,248.40894084759847,1.463132907344429,5,matched
Subway,ignnk_off,0,regional shift,outside,422.7196041771499,248.40894084759847,1.7011839949331862,5,matched
Subway,ignnk_off,1,no shift,inside,900.21640626305202,993.63576339039389,0.90563854836192914,5,matched
Subway,ignnk_off,1,no shift,outside,901.54292030827344,993.63576339039389,0.90736884405969731,5,matched
Subway,ignnk_off,1,regional shift,inside,399.33793913077091,248.40894084759847,1.6056616529766992,5,matched
Subway,ignnk_off,1,regional shift,outside,526.15037045101792,248.40894084759847,2.1174187233284423,5,matched
Subway,ignnk_off,2,no shift,inside,924.98929726819426,993.63576339039389,0.93077640116975857,5,matched
Subway,ignnk_off,2,no shift,outside,923.13503680394206,993.63576339039389,0.92913138961806163,5,matched
Subway,ignnk_off,2,regional shift,inside,344.73649191164503,248.40894084759847,1.3865384297303496,5,matched
Subway,ignnk_off,2,regional shift,outside,463.38979868921678,248.40894084759847,1.8644819681156082,5,matched
Subway,ignnk_off_c,0,no shift,inside,767.86371058270743,993.63576339039389,0.77279431791423592,5,matched
Subway,ignnk_off_c,0,no shift,outside,766.05335253837563,993.63576339039389,0.77123838903274211,5,matched
Subway,ignnk_off_c,0,regional shift,inside,192.02518797018132,248.40894084759847,0.77303128271750166,5,matched
Subway,ignnk_off_c,0,regional shift,outside,191.55521329600018,248.40894084759847,0.77140288483737485,5,matched
Subway,ignnk_off_c,1,no shift,inside,791.63997677816383,993.63576339039389,0.79665944090281005,5,matched
Subway,ignnk_off_c,1,no shift,outside,793.87452931903158,993.63576339039389,0.7991249194796286,5,matched
Subway,ignnk_off_c,1,regional shift,inside,197.89063033890153,248.40894084759847,0.79657546959157666,5,matched
Subway,ignnk_off_c,1,regional shift,outside,198.42513002968346,248.40894084759847,0.79894189910789704,5,matched
Subway,ignnk_off_c,2,no shift,inside,883.36258710160052,993.63576339039389,0.88909128714778429,5,matched
Subway,ignnk_off_c,2,no shift,outside,887.17557698054384,993.63576339039389,0.89315681250578527,5,matched
Subway,ignnk_off_c,2,regional shift,inside,220.883349897491,248.40894084759847,0.8892641035418366,5,matched
Subway,ignnk_off_c,2,regional shift,outside,221.87900674237517,248.40894084759847,0.89349254734852956,5,matched
Subway,spin,0,no shift,inside,643.60668999230381,993.63576339039389,0.64778312412945738,5,matched
Subway,spin,0,no shift,outside,670.08014252789121,993.63576339039389,0.67398216759200957,5,matched
Subway,spin,0,regional shift,inside,170.82088080792988,248.40894084759847,0.68766550965948958,5,matched
Subway,spin,0,regional shift,outside,463.49840884910464,248.40894084759847,1.8638422273842363,5,matched
Subway,spin,1,no shift,inside,570.19813523202833,993.63576339039389,0.57377364982959356,5,matched
Subway,spin,1,no shift,outside,581.46281546639079,993.63576339039389,0.58481972883149924,5,matched
Subway,spin,1,regional shift,inside,284.25227318202406,248.40894084759847,1.1434758508159959,5,matched
Subway,spin,1,regional shift,outside,655.58414360241545,248.40894084759847,2.6364882921971953,5,matched
Subway,spin,2,no shift,inside,639.42554255932123,993.63576339039389,0.64330476282342086,5,matched
Subway,spin,2,no shift,outside,663.28120517621051,993.63576339039389,0.66691372814510497,5,matched
Subway,spin,2,regional shift,inside,190.67770567361862,248.40894084759847,0.76710258193070258,5,matched
Subway,spin,2,regional shift,outside,571.05957371532077,248.40894084759847,2.2965645585616712,5,matched
Subway,spin_c,0,no shift,inside,515.94696484089104,993.63576339039389,0.51908313438476883,5,matched
Subway,spin_c,0,no shift,outside,518.24518906258322,993.63576339039389,0.5212370833930422,5,matched
Subway,spin_c,0,regional shift,inside,129.0950764487373,248.40894084759847,0.51951885132573139,5,matched
Subway,spin_c,0,regional shift,outside,129.68311954996031,248.40894084759847,0.5217247008005701,5,matched
Subway,spin_c,1,no shift,inside,492.43843509482497,993.63576339039389,0.49551464666222583,5,matched
Subway,spin_c,1,no shift,outside,497.92100369779274,993.63576339039389,0.50088609166324438,5,matched
Subway,spin_c,1,regional shift,inside,123.21857113268155,248.40894084759847,0.49594989592162364,5,matched
Subway,spin_c,1,regional shift,outside,124.52580714418306,248.40894084759847,0.50106876981866422,5,matched
