dataset,model,train_seed,placement_seed,shift,coverage,MAE,snaive7,common_mode,n_target,n_observed,realised_shift
mta,spin,2,3,regional shift,outside,692.770633044392,249.5552139177967,154.42793466022005,65,66,0.8412481727836516
mta,spin,2,4,regional shift,inside,214.29827665441172,243.52511163645917,152.6169901479139,65,66,0.8412481727836516
mta,spin,2,4,regional shift,outside,591.1594406512605,243.52511163645917,150.97627092231934,65,66,0.8412481727836516
mta,spin_c,0,0,no shift,inside,515.8084410466582,993.2239747634068,615.5834396350751,65,66,0.8412481727836516
mta,spin_c,0,0,no shift,outside,532.0893560844893,993.2239747634068,623.276234745115,65,66,0.8412481727836516
mta,spin_c,0,1,no shift,inside,487.4689322301024,946.0744244717756,638.7248195660171,65,66,0.8412481727836516
mta,spin_c,0,1,no shift,outside,495.1156356711321,946.0744244717756,640.8436092925723,65,66,0.8412481727836516
mta,spin_c,0,2,no shift,inside,562.5531062913559,1056.5591154997635,665.2195042765269,65,66,0.8412481727836516
mta,spin_c,0,2,no shift,outside,580.5174417078038,1056.5591154997635,670.7288228025842,65,66,0.8412481727836516
mta,spin_c,0,3,no shift,inside,518.1655765694773,998.2208556711868,618.1920085298035,65,66,0.8412481727836516
mta,spin_c,0,3,no shift,outside,523.8694444444444,998.2208556711868,617.7181811885386,65,66,0.8412481727836516
mta,spin_c,0,4,no shift,inside,514.1797268907563,974.1004465458366,610.5315490128482,65,66,0.8412481727836516
mta,spin_c,0,4,no shift,outside,509.0156512605042,974.1004465458366,603.9017391276316,65,66,0.8412481727836516
mta,spin_c,0,0,regional shift,inside,129.12504761717108,248.3059936908517,153.8801707664139,65,66,0.8412481727836516
mta,spin_c,0,0,regional shift,outside,133.22498456546867,248.3059936908517,155.82280772812058,65,66,0.8412481727836516
mta,spin_c,0,1,regional shift,inside,122.03387509850276,236.51860611794388,159.65467919311348,65,66,0.8412481727836516
mta,spin_c,0,1,regional shift,outside,123.96908490937746,236.51860611794388,160.21150760772235,65,66,0.8412481727836516
mta,spin_c,0,2,regional shift,inside,140.6174246402689,264.13977887494093,166.2781780814861,65,66,0.8412481727836516
mta,spin_c,0,2,regional shift,outside,145.27906732486085,264.13977887494093,167.68460021856967,65,66,0.8412481727836516
mta,spin_c,0,3,regional shift,inside,129.67511163645915,249.5552139177967,154.531490233714,65,66,0.8412481727836516
mta,spin_c,0,3,regional shift,outside,131.11523837667454,249.5552139177967,154.42793466022005,65,66,0.8412481727836516
mta,spin_c,0,4,regional shift,inside,128.70155921743697,243.52511163645917,152.6169901479139,65,66,0.8412481727836516
mta,spin_c,0,4,regional shift,outside,127.3862493434874,243.52511163645917,150.97627092231934,65,66,0.8412481727836516
mta,spin_c,1,0,no shift,inside,493.09882697562,993.2239747634068,615.5834396350751,65,66,0.8412481727836516
mta,spin_c,1,0,no shift,outside,507.135922393863,993.2239747634068,623.276234745115,65,66,0.8412481727836516
mta,spin_c,1,1,no shift,inside,471.3895718413449,946.0744244717756,638.7248195660171,65,66,0.8412481727836516
mta,spin_c,1,1,no shift,outside,469.06514315734177,946.0744244717756,640.8436092925723,65,66,0.8412481727836516
mta,spin_c,1,2,no shift,inside,532.2431270349754,1056.5591154997635,665.2195042765269,65,66,0.8412481727836516
mta,spin_c,1,2,no shift,outside,542.0358090011554,1056.5591154997635,670.7288228025842,65,66,0.8412481727836516
mta,spin_c,1,3,no shift,inside,499.6559429997373,998.2208556711868,618.1920085298035,65,66,0.8412481727836516
mta,spin_c,1,3,no shift,outside,503.1969792487523,998.2208556711868,617.7181811885386,65,66,0.8412481727836516
mta,spin_c,1,4,no shift,inside,489.4047137605042,974.1004465458366,610.5315490128482,65,66,0.8412481727836516
mta,spin_c,1,4,no shift,outside,486.455993960084,974.1004465458366,603.9017391276316,65,66,0.8412481727836516
mta,spin_c,1,0,regional shift,inside,123.46387827080706,248.3059936908517,153.8801707664139,65,66,0.8412481727836516
mta,spin_c,1,0,regional shift,outside,126.92664985287936,248.3059936908517,155.82280772812058,65,66,0.8412481727836516
mta,spin_c,1,1,regional shift,inside,117.95829557394272,236.51860611794388,159.65467919311348,65,66,0.8412481727836516
mta,spin_c,1,1,regional shift,outside,117.41785198318888,236.51860611794388,160.21150760772235,65,66,0.8412481727836516
mta,spin_c,1,2,regional shift,inside,133.25072865245247,264.13977887494093,166.2781780814861,65,66,0.8412481727836516
mta,spin_c,1,2,regional shift,outside,135.63374382942968,264.13977887494093,167.68460021856967,65,66,0.8412481727836516
mta,spin_c,1,3,regional shift,inside,125.04232991857106,249.5552139177967,154.531490233714,65,66,0.8412481727836516
mta,spin_c,1,3,regional shift,outside,125.87641187286576,249.5552139177967,154.42793466022005,65,66,0.8412481727836516
mta,spin_c,1,4,regional shift,inside,122.60345325630252,243.52511163645917,152.6169901479139,65,66,0.8412481727836516
mta,spin_c,1,4,regional shift,outside,121.7124097295168,243.52511163645917,150.97627092231934,65,66,0.8412481727836516
mta,spin_c,2,0,no shift,inside,491.9096981399748,993.2239747634068,615.5834396350751,65,66,0.8412481727836516
mta,spin_c,2,0,no shift,outside,506.1169346364018,993.2239747634068,623.276234745115,65,66,0.8412481727836516
mta,spin_c,2,1,no shift,inside,462.0983714210665,946.0744244717756,638.7248195660171,65,66,0.8412481727836516
mta,spin_c,2,1,no shift,outside,465.21606251641714,946.0744244717756,640.8436092925723,65,66,0.8412481727836516
mta,spin_c,2,2,no shift,inside,533.3069530511501,1056.5591154997635,665.2195042765269,65,66,0.8412481727836516
mta,spin_c,2,2,no shift,outside,550.8529631866401,1056.5591154997635,670.7288228025842,65,66,0.8412481727836516
mta,spin_c,2,3,no shift,inside,495.22362752823744,998.2208556711868,618.1920085298035,65,66,0.8412481727836516
mta,spin_c,2,3,no shift,outside,493.7358747044917,998.2208556711868,617.7181811885386,65,66,0.8412481727836516
mta,spin_c,2,4,no shift,inside,484.5737394957983,974.1004465458366,610.5315490128482,65,66,0.8412481727836516
mta,spin_c,2,4,no shift,outside,477.75242909663865,974.1004465458366,603.9017391276316,65,66,0.8412481727836516
mta,spin_c,2,0,regional shift,inside,123.23709903058008,248.3059936908517,153.8801707664139,65,66,0.8412481727836516
mta,spin_c,2,0,regional shift,outside,126.7760761480664,248.3059936908517,155.82280772812058,65,66,0.8412481727836516
mta,spin_c,2,1,regional shift,inside,115.66430588389808,236.51860611794388,159.65467919311348,65,66,0.8412481727836516
mta,spin_c,2,1,regional shift,outside,116.5053306409246,236.51860611794388,160.21150760772235,65,66,0.8412481727836516
mta,spin_c,2,2,regional shift,inside,133.50176419231173,264.13977887494093,166.2781780814861,65,66,0.8412481727836516
mta,spin_c,2,2,regional shift,outside,137.9505730753072,264.13977887494093,167.68460021856967,65,66,0.8412481727836516
mta,spin_c,2,3,regional shift,inside,123.88927469135804,249.5552139177967,154.531490233714,65,66,0.8412481727836516
mta,spin_c,2,3,regional shift,outside,123.56909968479115,249.5552139177967,154.42793466022005,65,66,0.8412481727836516
mta,spin_c,2,4,regional shift,inside,121.40563944327732,243.52511163645917,152.6169901479139,65,66,0.8412481727836516
mta,spin_c,2,4,regional shift,outside,119.6430475315126,243.52511163645917,150.97627092231934,65,66,0.8412481727836516
mta,ignnk_off,0,0,no shift,inside,1060.0469899379991,993.2239747634069,615.5834396350751,65,66,0.8412481727836516
mta,ignnk_off,0,0,no shift,outside,1062.7458363709804,993.2239747634069,623.276234745115,65,66,0.8412481727836516
mta,ignnk_off,0,1,no shift,inside,960.5243174579722,946.0744244717755,638.7248195660171,65,66,0.8412481727836516
mta,ignnk_off,0,1,no shift,outside,963.8889352672708,946.0744244717755,640.8436092925723,65,66,0.8412481727836516
mta,ignnk_off,0,2,no shift,inside,1116.7396269594842,1056.5591154997637,665.2195042765269,65,66,0.8412481727836516
mta,ignnk_off,0,2,no shift,outside,1101.154697921043,1056.5591154997637,670.7288228025842,65,66,0.8412481727836516
mta,ignnk_off,0,3,no shift,inside,1041.0594156323878,998.2208556711868,618.1920085298035,65,66,0.8412481727836516
mta,ignnk_off,0,3,no shift,outside,1058.6145870271869,998.2208556711868,617.7181811885386,65,66,0.8412481727836516
mta,ignnk_off,0,4,no shift,inside,1034.6768222327994,974.1004465458366,610.5315490128482,65,66,0.8412481727836516
mta,ignnk_off,0,4,no shift,outside,1037.3364676339286,974.1004465458366,603.9017391276316,65,66,0.8412481727836516
mta,ignnk_off,0,0,regional shift,inside,367.30694818677097,248.30599369085172,153.8801707664139,65,66,0.8412481727836516
mta,ignnk_off,0,0,regional shift,outside,433.9630258823954,248.30599369085172,155.82280772812058,65,66,0.8412481727836516
mta,ignnk_off,0,1,regional shift,inside,326.2168517697662,236.51860611794388,159.65467919311348,65,66,0.8412481727836516
