dataset,backbone,input_source,n_train_seeds,n_placements,D_uncentred,D_uncentred_ci_low,D_uncentred_ci_high,D_uncentred_positive,score_support_status,D_KRIN,D_KRIN_ci_low,D_KRIN_ci_high,D_KRIN_positive,R,R_ci_low,R_ci_high,R_positive
Chicago,SPIN-s,original,3,5,1.0582625494258033,0.56065390024178829,1.4710249506965731,15,exact,0.00011825564999087637,-0.00017143092179608594,0.00045814554923054491,8,1.0581442937758123,0.56068684651700051,1.4708366802894253,15
Chicago,IGNNK-R,original,3,5,0.41255576015960449,0.3525170226513204,0.48363130761893036,15,exact,-9.602904311403945e-05,-0.00038076671724280865,0.00018351798095997724,6,0.4126517892027185,0.35272144372388875,0.48377394539958557,15
Subway,SPIN-s,original,3,5,1.4367284035647143,1.1539512338491809,1.7997086229086543,15,mismatch,9.3247571959054205e-06,-0.00026574428221017113,0.00025928657324055063,8,1.436719078807519,1.1539642291348049,1.7996146300352729,15
Subway,IGNNK-R,original,3,5,0.40854626330215627,0.24375913184836748,0.53186306767699498,15,mismatch,-2.1158702268457101e-05,-0.00020450384250112475,0.00019479470153559072,7,0.40856742200442464,0.24378818882091141,0.53195755994652472,15
